title,popularity_fixed,genero1,genero2,genero3,cluster,genres
Chungking Express,0.0,Drama,Comedy,Romance,-1,Drama Comedy Romance
The Star Maker,0.0,Drama,Romance,,0,Drama Romance
Flirting with Disaster,7.0,Comedy,Romance,,-1,Comedy Romance
The Neverending Story III: Escape from Fantasia,17.0,Fantasy,,,0,Fantasy
The Silences of the Palace,0.0,Drama,,,20,Drama
Jupiter's Wife,0.0,,,,0,
Pie in the Sky,0.0,Comedy,Romance,,0,Comedy Romance
Angela,0.0,Comedy,Drama,,-1,Comedy Drama
Frankie Starlight,0.0,Drama,Romance,War,-1,Drama Romance War
Jade,50.0,Action,Thriller,Mystery,-1,Action Thriller Mystery
Nueba Yol,0.0,Comedy,Drama,Romance,-1,Comedy Drama Romance
Sonic Outlaws,0.0,Music,Documentary,,-1,Music Documentary
Down Periscope,0.0,Comedy,,,-1,Comedy
From the Journals of Jean Seberg,0.0,Documentary,,,21,Documentary
Man of the Year,0.0,Comedy,,,0,Comedy
The Neon Bible,0.0,Drama,,,-1,Drama
Target,0.0,,,,0,
Up Close & Personal,60.0,Drama,Romance,,22,Drama Romance
The Birdcage,31.0,Comedy,,,-1,Comedy
Virgin Mary,0.0,Drama,,,0,Drama
The Brothers McMullen,0.0,Comedy,Drama,Romance,0,Comedy Drama Romance
Bad Boys,19.0,Action,Comedy,Crime,0,Action Comedy Crime
The Amazing Panda Adventure,0.0,Action,Adventure,Drama,0,Action Adventure Drama
The Basketball Diaries,0.0,Drama,Crime,,-1,Drama Crime
An Awfully Big Adventure,4.0,Romance,Drama,Comedy,0,Romance Drama Comedy
Amateur,0.0,Crime,Comedy,Drama,-1,Crime Comedy Drama
Apollo 13,52.0,Drama,,,-1,Drama
Rob Roy,28.0,Adventure,,,-1,Adventure
The Addiction,0.0,Drama,Horror,,-1,Drama Horror
Batman Forever,100.0,Action,Crime,Fantasy,0,Action Crime Fantasy
Belle de Jour,0.0,Drama,Romance,,-1,Drama Romance
Beyond Rangoon,0.0,Drama,Thriller,,-1,Drama Thriller
Blue in the Face,2.0,Comedy,,,0,Comedy
Canadian Bacon,11.0,Action,Comedy,,-1,Action Comedy
Casper,50.0,Fantasy,Comedy,Family,-1,Fantasy Comedy Family
Clockers,25.0,Mystery,Crime,Drama,-1,Mystery Crime Drama
Congo,50.0,Action,Adventure,Drama,-1,Action Adventure Drama
Crimson Tide,53.0,Action,Thriller,Drama,-1,Action Thriller Drama
Crumb,0.0,Documentary,,,-1,Documentary
Desperado,7.0,Thriller,Action,Crime,-1,Thriller Action Crime
Devil in a Blue Dress,27.0,Drama,Mystery,Thriller,0,Drama Mystery Thriller
Die Hard: With a Vengeance,90.0,Action,Thriller,,0,Action Thriller
The Doom Generation,0.0,Action,Comedy,Crime,-1,Action Comedy Crime
Feast of July,0.0,Drama,Crime,,-1,Drama Crime
First Knight,55.0,Action,Adventure,Drama,0,Action Adventure Drama
Free Willy 2 - The Adventure Home,0.0,Adventure,,,0,Adventure
Hackers,20.0,Action,Crime,Thriller,-1,Action Crime Thriller
Jeffrey,0.0,Comedy,Drama,Romance,-1,Comedy Drama Romance
Johnny Mnemonic,25.0,Adventure,Action,Drama,23,Adventure Action Drama
Judge Dredd,90.0,Science,Fiction,,-1,Science Fiction
Jury Duty,0.0,Comedy,Drama,,24,Comedy Drama
Kids,1.5,Drama,Crime,,0,Drama Crime
Living in Oblivion,0.5,Drama,Comedy,,0,Drama Comedy
Lord of Illusions,0.0,Mystery,Horror,Thriller,0,Mystery Horror Thriller
Love & Human Remains,0.0,Comedy,Drama,,0,Comedy Drama
Mad Love,0.0,Drama,Family,Romance,0,Drama Family Romance
Mallrats,6.0,Romance,Comedy,,-1,Romance Comedy
Mighty Morphin Power Rangers: The Movie,15.0,Action,Adventure,Science,0,Action Adventure Science
Moonlight and Valentino,0.0,Comedy,Drama,Romance,-1,Comedy Drama Romance
Mute Witness,2e-06,Thriller,Foreign,,25,Thriller Foreign
Nadja,0.0,Horror,Thriller,,-1,Horror Thriller
The Net,22.0,Crime,Drama,Mystery,-1,Crime Drama Mystery
Nine Months,0.0,Comedy,,,-1,Comedy
Party Girl,0.15,Comedy,,,0,Comedy
The Prophecy,8e-06,Fantasy,Horror,Thriller,0,Fantasy Horror Thriller
Reckless,0.0,Fantasy,Comedy,Drama,-1,Fantasy Comedy Drama
Safe,0.0,Drama,,,0,Drama
The Scarlet Letter,50.0,Drama,History,Romance,0,Drama History Romance
The Show,0.0,Documentary,,,-1,Documentary
Showgirls,45.0,Drama,,,-1,Drama
Smoke,7.0,Comedy,Drama,,26,Comedy Drama
Something to Talk About,0.0,Comedy,,,0,Comedy
Species,35.0,Science,Fiction,Horror,0,Science Fiction Horror
The Stars Fell on Henrietta,0.0,Drama,,,19,Drama
Strange Days,42.0,Crime,Drama,Science,0,Crime Drama Science
The Umbrellas of Cherbourg,0.0,Drama,Romance,,-1,Drama Romance
The Tie That Binds,14.0,Thriller,,,27,Thriller
Three Wishes,0.0,Drama,Fantasy,,-1,Drama Fantasy
Total Eclipse,0.0,Drama,Romance,,28,Drama Romance
"To Wong Foo, Thanks for Everything! Julie Newmar",0.0,Comedy,,,29,Comedy
Under Siege 2: Dark Territory,60.0,Action,Thriller,,0,Action Thriller
Unstrung Heroes,0.0,Comedy,Drama,Family,30,Comedy Drama Family
Unzipped,0.0,Documentary,,,-1,Documentary
A Walk in the Clouds,20.0,Drama,Romance,,0,Drama Romance
Waterworld,175.0,Adventure,Action,,-1,Adventure Action
White Man's Burden,8.0,Drama,,,0,Drama
Wild Bill,30.0,Action,Western,,0,Action Western
The Browning Version,0.0,Drama,,,-1,Drama
Bushwhacked,0.0,Adventure,Action,Comedy,-1,Adventure Action Comedy
Burnt by the Sun,2.8,Drama,,,0,Drama
Before the Rain,0.0,Drama,War,,0,Drama War
Before Sunrise,2.5,Drama,Romance,,31,Drama Romance
Billy Madison,10.0,Comedy,,,17,Comedy
The Babysitter,0.0,Drama,Thriller,,-1,Drama Thriller
Boys on the Side,21.0,Comedy,Drama,,0,Comedy Drama
The Cure,0.0,Drama,Family,,-1,Drama Family
Castle Freak,0.0,Thriller,Drama,Horror,32,Thriller Drama Horror
Circle of Friends,0.0,Drama,Family,Romance,0,Drama Family Romance
Clerks,0.027,Comedy,,,-1,Comedy
Don Juan DeMarco,25.0,Romance,Drama,Comedy,0,Romance Drama Comedy
Disclosure,55.0,Drama,Thriller,Crime,-1,Drama Thriller Crime
Dream Man,0.0,Thriller,,,0,Thriller
Drop Zone,45.0,Action,Adventure,Thriller,0,Action Adventure Thriller
Destiny Turns on the Radio,0.0,Crime,Comedy,Fantasy,-1,Crime Comedy Fantasy
Death and the Maiden,0.0,Drama,Thriller,Mystery,0,Drama Thriller Mystery
Dolores Claiborne,0.0,Crime,Drama,Mystery,-1,Crime Drama Mystery
Dumb and Dumber,16.0,Comedy,,,-1,Comedy
Eat Drink Man Woman,0.0,Comedy,Drama,Romance,0,Comedy Drama Romance
Exotica,0.0,Drama,Mystery,,-1,Drama Mystery
Exit to Eden,0.0,Thriller,Comedy,Crime,33,Thriller Comedy Crime
Ed Wood,18.0,Comedy,Drama,History,0,Comedy Drama History
French Kiss,0.0,Comedy,Romance,,0,Comedy Romance
Forget Paris,0.0,Comedy,Drama,Romance,0,Comedy Drama Romance
Far from Home: The Adventures of Yellow Dog,0.0,Action,Adventure,Drama,0,Action Adventure Drama
A Goofy Movie,0.0,Romance,Animation,Family,0,Romance Animation Family
Hideaway,15.0,Drama,Thriller,,-1,Drama Thriller
Fluke,0.0,Drama,Family,Fantasy,-1,Drama Family Fantasy
Farinelli,0.0,History,Drama,,-1,History Drama
Gordy,0.0,Drama,Family,Fantasy,-1,Drama Family Fantasy
Gumby: The Movie,0.0,Fantasy,Animation,Science,0,Fantasy Animation Science
The Glass Shield,0.0,Drama,Action,Thriller,-1,Drama Action Thriller
Hoop Dreams,0.7,Documentary,,,0,Documentary
Heavenly Creatures,5.0,Drama,Fantasy,,0,Drama Fantasy
Houseguest,10.5,Comedy,Family,,-1,Comedy Family
Immortal Beloved,0.00012,Drama,Music,Romance,0,Drama Music Romance
Heavyweights,0.0,Comedy,Family,Drama,-1,Comedy Family Drama
The Hunted,0.0,Action,Thriller,,-1,Action Thriller
I.Q.,25.0,Comedy,Drama,Romance,-1,Comedy Drama Romance
Interview with the Vampire,60.0,Horror,Romance,,12,Horror Romance
Jefferson in Paris,14.0,Drama,Romance,,0,Drama Romance
The Jerky Boys,0.0,Comedy,Crime,,0,Comedy Crime
Junior,60.0,Comedy,Family,Romance,-1,Comedy Family Romance
Just Cause,0.0,Action,Drama,Mystery,0,Action Drama Mystery
A Kid in King Arthur's Court,0.0,Adventure,Fantasy,Comedy,0,Adventure Fantasy Comedy
Kiss of Death,40.0,Action,Crime,Drama,0,Action Crime Drama
Star Wars,11.0,Adventure,Action,Science,0,Adventure Action Science
Little Women,18.0,Drama,Romance,,0,Drama Romance
A Little Princess,17.0,Drama,Family,Fantasy,0,Drama Family Fantasy
Ladybird Ladybird,0.0,Drama,,,-1,Drama
L'Enfer,10.0,Crime,Drama,,-1,Crime Drama
Like Water for Chocolate,2.0,Drama,Romance,,0,Drama Romance
Legends of the Fall,30.0,Adventure,Drama,Romance,0,Adventure Drama Romance
Major Payne,0.0,Adventure,Comedy,Family,34,Adventure Comedy Family
Little Odessa,0.0,Action,Drama,,0,Action Drama
Mi Vida Loca,0.0,Crime,Drama,,-1,Crime Drama
Love Affair,60.0,Drama,Romance,,0,Drama Romance
Losing Isaiah,17.0,Drama,,,35,Drama
The Madness of King George,0.0,Comedy,Drama,History,0,Comedy Drama History
Mary Shelley's Frankenstein,45.0,Drama,Horror,Science,0,Drama Horror Science
Man of the House,0.0,Action,Comedy,Family,0,Action Comedy Family
Mixed Nuts,15.0,Comedy,Drama,Romance,-1,Comedy Drama Romance
Milk Money,0.0,Comedy,Romance,,0,Comedy Romance
Miracle on 34th Street,0.0,Fantasy,Drama,Family,0,Fantasy Drama Family
Miami Rhapsody,6e-06,Comedy,Romance,,-1,Comedy Romance
My Family,5.5,Comedy,Drama,,0,Comedy Drama
Murder in the First,0.0,Crime,Drama,,0,Crime Drama
Nobody's Fool,0.0,Drama,Comedy,,0,Drama Comedy
Nell,31.0,Drama,Thriller,,-1,Drama Thriller
New Jersey Drive,0.0,Crime,Drama,,0,Crime Drama
New York Cop,0.0,Action,Thriller,Crime,0,Action Thriller Crime
Beyond Bedlam,4.8,Horror,,,-1,Horror
Nemesis 2 - Nebula,0.0,Science,Fiction,Action,-1,Science Fiction Action
Nina Takes a Lover,0.0,Drama,Romance,,0,Drama Romance
Natural Born Killers,34.0,Crime,Thriller,Drama,0,Crime Thriller Drama
Only You,0.0,Comedy,Drama,Romance,-1,Comedy Drama Romance
Once Were Warriors,0.0,Drama,,,36,Drama
Poison Ivy II: Lily,0.0,Drama,Romance,Thriller,0,Drama Romance Thriller
Outbreak,50.0,Action,Drama,Science,-1,Action Drama Science
Leon: The Professional,16.0,Thriller,Crime,Drama,-1,Thriller Crime Drama
The Perez Family,11.0,Comedy,Drama,Romance,0,Comedy Drama Romance
A Pyromaniac's Love Story,0.0,Comedy,Drama,Romance,0,Comedy Drama Romance
Pulp Fiction,8.0,Thriller,Crime,,-1,Thriller Crime
Panther,0.0,Drama,,,0,Drama
Pushing Hands,0.4,Comedy,Drama,,0,Comedy Drama
Priest,0.0,Drama,Romance,,37,Drama Romance
Quiz Show,0.0,History,Drama,,-1,History Drama
Picture Bride,0.0,Drama,History,,0,Drama History
Queen Margot,0.0,Drama,History,,0,Drama History
The Quick and the Dead,32.0,Action,Western,,0,Action Western
Roommates,22.0,Drama,Comedy,,-1,Drama Comedy
Prêt-à-Porter,15.0,Drama,Comedy,,-1,Drama Comedy
Three Colors: Red,0.0,Drama,Mystery,Romance,0,Drama Mystery Romance
Three Colors: Blue,0.0,Drama,Music,Mystery,0,Drama Music Mystery
Three Colors: White,0.0,Comedy,Drama,Mystery,0,Comedy Drama Mystery
"Red Firecracker, Green Firecracker",0.0,Drama,,,0,Drama
Rent-a-Kid,0.0,Comedy,Family,TV,0,Comedy Family TV
Relative Fear,0.0,Horror,Drama,,0,Horror Drama
Stuart Saves His Family,0.0,Comedy,Drama,,0,Comedy Drama
The Swan Princess,35.0,Animation,,,0,Animation
The Secret of Roan Inish,0.0,Drama,Family,Fantasy,0,Drama Family Fantasy
The Specialist,45.0,Action,Thriller,,-1,Action Thriller
Stargate,55.0,Action,Adventure,Science,-1,Action Adventure Science
The Santa Clause,22.0,Fantasy,Drama,Comedy,0,Fantasy Drama Comedy
The Shawshank Redemption,25.0,Drama,Crime,,-1,Drama Crime
Shallow Grave,0.0,Crime,Thriller,,38,Crime Thriller
Suture,0.0,Drama,Thriller,,-1,Drama Thriller
Strawberry and Chocolate,0.0,Comedy,Drama,,0,Comedy Drama
Swimming with Sharks,0.0,Crime,Comedy,,-1,Crime Comedy
The Sum of Us,3.2e-05,Comedy,Drama,Romance,-1,Comedy Drama Romance
Senior Trip,0.0,Comedy,,,39,Comedy
To Live,0.0,Drama,Romance,War,0,Drama Romance War
Tank Girl,25.0,Action,Comedy,Fantasy,0,Action Comedy Fantasy
Tales from the Crypt: Demon Knight,0.0,Horror,Comedy,Thriller,0,Horror Comedy Thriller
Star Trek: Generations,38.0,Science,Fiction,Action,0,Science Fiction Action
Tales from the Hood,6.0,Crime,Horror,Thriller,0,Crime Horror Thriller
Tom & Viv,0.0,Drama,Romance,,0,Drama Romance
Village of the Damned,0.0,Thriller,Horror,Science,0,Thriller Horror Science
Tommy Boy,0.0,Comedy,,,0,Comedy
Vanya on 42nd Street,0.0,Drama,Romance,,0,Drama Romance
The Underneath,6.5,Thriller,Crime,,-1,Thriller Crime
The Walking Dead,0.0,Drama,War,,0,Drama War
What's Eating Gilbert Grape,11.0,Romance,Drama,,-1,Romance Drama
Virtuosity,30.0,Action,Crime,Science,-1,Action Crime Science
While You Were Sleeping,17.0,Comedy,Drama,Romance,0,Comedy Drama Romance
The War,0.0,Drama,,,0,Drama
Double Happiness,0.0,Comedy,Romance,,0,Comedy Romance
Muriel's Wedding,3.0,Drama,Comedy,Romance,0,Drama Comedy Romance
The Baby-Sitters Club,0.0,Comedy,Drama,Family,8,Comedy Drama Family
Ace Ventura: Pet Detective,15.0,Comedy,Mystery,,0,Comedy Mystery
"The Adventures of Priscilla, Queen of the Desert",0.0,Drama,Comedy,,0,Drama Comedy
Backbeat,0.0,Drama,Music,,-1,Drama Music
Bitter Moon,5.0,Thriller,Drama,Romance,0,Thriller Drama Romance
Bullets Over Broadway,0.0,Action,Comedy,Thriller,40,Action Comedy Thriller
Clear and Present Danger,62.0,Action,Drama,Thriller,-1,Action Drama Thriller
The Client,45.0,Drama,Thriller,Crime,-1,Drama Thriller Crime
"Corrina, Corrina",0.0,Comedy,Drama,Family,-1,Comedy Drama Family
Crooklyn,0.0,Comedy,Drama,,-1,Comedy Drama
The Crow,15.0,Fantasy,Action,Thriller,0,Fantasy Action Thriller
Cobb,0.0,Drama,,,-1,Drama
The Flintstones,46.0,Fantasy,Comedy,Family,-1,Fantasy Comedy Family
Forrest Gump,55.0,Comedy,Drama,Romance,-1,Comedy Drama Romance
Four Weddings and a Funeral,6.0,Comedy,Drama,Romance,41,Comedy Drama Romance
Higher Learning,0.0,Romance,Drama,Crime,-1,Romance Drama Crime
I Like It Like That,0.0,Comedy,Drama,Romance,0,Comedy Drama Romance
I Love Trouble,45.0,Action,Comedy,Romance,0,Action Comedy Romance
It Could Happen to You,0.0,Comedy,Drama,Romance,-1,Comedy Drama Romance
The Jungle Book,0.0,Adventure,Drama,Family,42,Adventure Drama Family
"The Wonderful, Horrible Life of Leni Riefenstahl",0.0,Documentary,Foreign,,0,Documentary Foreign
The Lion King,45.0,Family,Animation,Drama,0,Family Animation Drama
Little Buddha,35.0,Drama,History,,0,Drama History
New Nightmare,14.0,Horror,Thriller,Mystery,0,Horror Thriller Mystery
The Mask,23.0,Romance,Comedy,Crime,0,Romance Comedy Crime
Maverick,0.0,Action,Adventure,Comedy,-1,Action Adventure Comedy
Mrs. Parker and the Vicious Circle,0.0,Drama,,,0,Drama
The Naked Gun 33⅓: The Final Insult,30.0,Comedy,Crime,,0,Comedy Crime
The Paper,6.0,Comedy,Drama,,-1,Comedy Drama
Reality Bites,11.5,Drama,,,-1,Drama
Red Rock West,8.0,Crime,Drama,Thriller,0,Crime Drama Thriller
Ri¢hie Ri¢h,40.0,Comedy,Family,,-1,Comedy Family
Safe Passage,0.0,Drama,,,0,Drama
The River Wild,45.0,Action,Adventure,Crime,0,Action Adventure Crime
Speed,30.0,Action,Adventure,Crime,43,Action Adventure Crime
Speechless,0.0,Comedy,Romance,,-1,Comedy Romance
Timecop,27.0,Thriller,Science,Fiction,-1,Thriller Science Fiction
True Lies,115.0,Action,Thriller,,0,Action Thriller
When a Man Loves a Woman,0.0,Drama,Romance,,0,Drama Romance
Wolf,0.0,Fantasy,,,0,Fantasy
Wyatt Earp,63.0,Drama,Action,Western,-1,Drama Action Western
Bad Company,0.0,Action,Crime,Romance,0,Action Crime Romance
A Man of No Importance,0.0,Comedy,Drama,,0,Comedy Drama
S.F.W.,0.0,Comedy,Drama,,-1,Comedy Drama
A Low Down Dirty Shame,10.0,Action,Comedy,Crime,44,Action Comedy Crime
"Boys Life: Three Stories of Love, Lust, and Liberation",0.0,Drama,,,0,Drama
Colonel Chabert,0.0,Drama,,,-1,Drama
"Faster, Pussycat! Kill! Kill!",0.045,Action,Crime,,0,Action Crime
Jason's Lyric,7.0,Crime,Drama,Romance,-1,Crime Drama Romance
The Secret Adventures of Tom Thumb,0.0,Animation,Science,Fiction,0,Animation Science Fiction
Street Fighter,35.0,Action,Adventure,Thriller,0,Action Adventure Thriller
Coldblooded,0.0,Action,Comedy,,-1,Action Comedy
Desert Winds,0.0,,,,0,
Fall Time,0.0,Action,Adventure,Crime,0,Action Adventure Crime
The Fear,0.0,Horror,Thriller,,0,Horror Thriller
Frank and Ollie,0.0,Documentary,,,18,Documentary
Girl in the Cadillac,0.0,Romance,Adventure,Crime,0,Romance Adventure Crime
Homage,0.0,Thriller,Drama,,-1,Thriller Drama
Mirage,0.0,Action,Thriller,,-1,Action Thriller
Open Season,0.0,Comedy,,,0,Comedy
Dos Crímenes,0.0,,,,-1,
Brother Minister: The Assassination of Malcolm X,0.0,Documentary,,,0,Documentary
Highlander: The Final Dimension,26.0,Action,Fantasy,Science,45,Action Fantasy Science
Federal Hill,0.0,,,,0,
In the Mouth of Madness,8.0,Horror,Mystery,Thriller,46,Horror Mystery Thriller
8 Seconds,0.0,Drama,Romance,,-1,Drama Romance
Above the Rim,0.0,Crime,Drama,,-1,Crime Drama
Addams Family Values,0.0,Comedy,Family,Fantasy,0,Comedy Family Fantasy
Martin Lawrence: You So Crazy,0.0,Comedy,,,0,Comedy
The Age of Innocence,34.0,Drama,Romance,,0,Drama Romance
Airheads,0.0,Comedy,Crime,Music,-1,Comedy Crime Music
The Air Up There,17.08,Comedy,Family,,0,Comedy Family
Another Stakeout,0.0,Action,Comedy,,-1,Action Comedy
Bad Girls,0.0,Action,Adventure,Comedy,0,Action Adventure Comedy
Barcelona,3.2,Comedy,Drama,Romance,-1,Comedy Drama Romance
Being Human,40.0,Drama,Comedy,Fantasy,0,Drama Comedy Fantasy
The Beverly Hillbillies,0.0,Comedy,,,0,Comedy
Beverly Hills Cop III,50.0,Action,Comedy,Crime,0,Action Comedy Crime
Black Beauty,0.0,Action,Adventure,Drama,0,Action Adventure Drama
Blink,0.0,Mystery,Crime,Drama,-1,Mystery Crime Drama
Blown Away,0.0,Drama,Action,Thriller,0,Drama Action Thriller
