title,runtime,release_year
Canadian Bacon,91.0,1995
Casper,100.0,1995
Clockers,128.0,1995
Congo,109.0,1995
Crimson Tide,116.0,1995
Crumb,119.0,1994
Desperado,104.0,1995
Devil in a Blue Dress,102.0,1995
Die Hard: With a Vengeance,128.0,1995
The Doom Generation,80.0,1995
Feast of July,116.0,1995
First Knight,134.0,1995
Free Willy 2 - The Adventure Home,95.0,1995
Hackers,107.0,1995
Jeffrey,92.0,1995
Johnny Mnemonic,97.0,1995
Judge Dredd,96.0,1995
Jury Duty,88.0,1995
Kids,91.0,1995
Living in Oblivion,89.0,1995
Lord of Illusions,119.0,1995
Love & Human Remains,100.0,1993
Mad Love,95.0,1995
Mallrats,94.0,1995
Mighty Morphin Power Rangers: The Movie,92.0,1995
Moonlight and Valentino,100.0,1995
Mute Witness,95.0,1995
Nadja,93.0,1994
The Net,114.0,1995
Nine Months,103.0,1995
Party Girl,94.0,1995
The Prophecy,98.0,1995
Reckless,91.0,1995
Safe,119.0,1995
The Scarlet Letter,135.0,1995
The Show,93.0,1995
Showgirls,128.0,1995
Smoke,112.0,1995
Something to Talk About,106.0,1995
Species,108.0,1995
The Stars Fell on Henrietta,109.0,1995
Strange Days,145.0,1995
The Umbrellas of Cherbourg,91.0,1964
The Tie That Binds,99.0,1995
Three Wishes,115.0,1995
Total Eclipse,111.0,1995
"To Wong Foo, Thanks for Everything! Julie Newmar",105.0,1995
Under Siege 2: Dark Territory,100.0,1995
Unstrung Heroes,93.0,1995
Unzipped,73.0,1995
A Walk in the Clouds,103.0,1995
Waterworld,135.0,1995
White Man's Burden,89.0,1995
Wild Bill,98.0,1995
The Browning Version,97.0,1994
Bushwhacked,90.0,1995
Burnt by the Sun,135.0,1994
Before the Rain,113.0,1994
Before Sunrise,105.0,1995
Billy Madison,89.0,1995
The Babysitter,90.0,1995
Boys on the Side,115.0,1995
The Cure,97.0,1995
Castle Freak,95.0,1995
Circle of Friends,103.0,1995
Clerks,92.0,1994
Don Juan DeMarco,97.0,1994
Disclosure,123.0,1994
Dream Man,0.0,1995
Drop Zone,101.0,1994
Destiny Turns on the Radio,0.0,1995
Death and the Maiden,103.0,1994
Dolores Claiborne,132.0,1995
Dumb and Dumber,107.0,1994
Eat Drink Man Woman,123.0,1994
Exotica,103.0,1994
Exit to Eden,113.0,1994
Ed Wood,127.0,1994
French Kiss,111.0,1995
Forget Paris,101.0,1995
Far from Home: The Adventures of Yellow Dog,87.0,1995
A Goofy Movie,78.0,1995
Hideaway,103.0,1995
Fluke,96.0,1995
Farinelli,111.0,1994
Gordy,90.0,1995
Gumby: The Movie,77.0,1995
The Glass Shield,109.0,1994
Hoop Dreams,171.0,1994
Heavenly Creatures,99.0,1994
Houseguest,113.0,1995
Immortal Beloved,121.0,1994
Heavyweights,100.0,1995
The Hunted,106.0,1995
I.Q.,100.0,1994
Interview with the Vampire,123.0,1994
Jefferson in Paris,139.0,1995
The Jerky Boys,82.0,1995
Junior,109.0,1994
Just Cause,102.0,1995
A Kid in King Arthur's Court,89.0,1995
Kiss of Death,101.0,1995
Star Wars,121.0,1977
Little Women,115.0,1994
A Little Princess,97.0,1995
Ladybird Ladybird,101.0,1994
L'Enfer,100.0,1994
Like Water for Chocolate,105.0,1992
Legends of the Fall,133.0,1994
Major Payne,95.0,1995
Little Odessa,98.0,1994
Mi Vida Loca,92.0,1994
Love Affair,108.0,1994
Losing Isaiah,106.0,1995
The Madness of King George,107.0,1994
Mary Shelley's Frankenstein,123.0,1994
Man of the House,96.0,1995
Mixed Nuts,97.0,1994
Milk Money,108.0,1994
Miracle on 34th Street,114.0,1994
Miami Rhapsody,95.0,1995
My Family,128.0,1995
Murder in the First,122.0,1995
Nobody's Fool,110.0,1994
Nell,112.0,1994
New Jersey Drive,98.0,1995
New York Cop,93.0,1993
Beyond Bedlam,89.0,1994
Nemesis 2 - Nebula,83.0,1995
Nina Takes a Lover,100.0,1995
Natural Born Killers,119.0,1994
Only You,115.0,1994
Once Were Warriors,99.0,1994
Poison Ivy II: Lily,106.0,1996
Outbreak,127.0,1995
Leon: The Professional,110.0,1994
The Perez Family,113.0,1995
A Pyromaniac's Love Story,94.0,1995
Pulp Fiction,154.0,1994
Panther,124.0,1995
Pushing Hands,105.0,1992
Priest,98.0,1994
Quiz Show,133.0,1994
Picture Bride,94.0,1995
Queen Margot,162.0,1994
The Quick and the Dead,107.0,1995
Roommates,108.0,1995
Prêt-à-Porter,133.0,1994
Three Colors: Red,99.0,1994
Three Colors: Blue,98.0,1993
Three Colors: White,91.0,1994
"Red Firecracker, Green Firecracker",111.0,1994
Rent-a-Kid,85.0,1995
Relative Fear,90.0,1995
Stuart Saves His Family,95.0,1995
The Swan Princess,89.0,1994
The Secret of Roan Inish,97.0,1994
The Specialist,110.0,1994
Stargate,121.0,1994
The Santa Clause,97.0,1994
The Shawshank Redemption,142.0,1994
Shallow Grave,92.0,1994
Suture,96.0,1993
Strawberry and Chocolate,108.0,1993
Swimming with Sharks,101.0,1994
The Sum of Us,100.0,1994
Senior Trip,91.0,1995
To Live,125.0,1994
Tank Girl,98.0,1995
Tales from the Crypt: Demon Knight,92.0,1995
Star Trek: Generations,118.0,1994
Tales from the Hood,98.0,1995
Tom & Viv,115.0,1994
Village of the Damned,99.0,1995
Tommy Boy,97.0,1995
Vanya on 42nd Street,119.0,1994
The Underneath,99.0,1995
The Walking Dead,88.0,1995
What's Eating Gilbert Grape,118.0,1993
Virtuosity,106.0,1995
While You Were Sleeping,103.0,1995
The War,126.0,1994
Double Happiness,87.0,1994
Muriel's Wedding,106.0,1994
The Baby-Sitters Club,94.0,1995
Ace Ventura: Pet Detective,86.0,1994
"The Adventures of Priscilla, Queen of the Desert",104.0,1994
Backbeat,100.0,1994
Bitter Moon,139.0,1992
Bullets Over Broadway,98.0,1994
Clear and Present Danger,141.0,1994
The Client,119.0,1994
"Corrina, Corrina",115.0,1994
Crooklyn,115.0,1994
The Crow,102.0,1994
Cobb,128.0,1994
The Flintstones,91.0,1994
Forrest Gump,142.0,1994
Four Weddings and a Funeral,117.0,1994
Higher Learning,127.0,1995
I Like It Like That,104.0,1994
I Love Trouble,123.0,1994
It Could Happen to You,101.0,1994
The Jungle Book,111.0,1994
"The Wonderful, Horrible Life of Leni Riefenstahl",180.0,1993
The Lion King,89.0,1994
Little Buddha,140.0,1993
New Nightmare,112.0,1994
The Mask,101.0,1994
Maverick,127.0,1994
Mrs. Parker and the Vicious Circle,125.0,1994
The Naked Gun 33⅓: The Final Insult,83.0,1994
The Paper,112.0,1994
Reality Bites,99.0,1994
Red Rock West,98.0,1993
Ri¢hie Ri¢h,95.0,1994
Safe Passage,98.0,1994
The River Wild,111.0,1994
Speed,116.0,1994
Speechless,99.0,1994
Timecop,99.0,1994
True Lies,141.0,1994
When a Man Loves a Woman,126.0,1994
Wolf,125.0,1994
Wyatt Earp,191.0,1994
Bad Company,108.0,1995
A Man of No Importance,99.0,1994
S.F.W.,96.0,1994
A Low Down Dirty Shame,100.0,1994
"Boys Life: Three Stories of Love, Lust, and Liberation",91.0,1994
Colonel Chabert,110.0,1994
"Faster, Pussycat! Kill! Kill!",83.0,1965
Jason's Lyric,119.0,1994
The Secret Adventures of Tom Thumb,61.0,1993
Street Fighter,102.0,1994
Coldblooded,92.0,1995
Desert Winds,97.0,1997
Fall Time,88.0,1995
The Fear,98.0,1995
Frank and Ollie,89.0,1995
Girl in the Cadillac,89.0,1995
Homage,97.0,1995
Mirage,92.0,1995
Open Season,97.0,1996
Dos Crímenes,0.0,1995
Brother Minister: The Assassination of Malcolm X,115.0,1995
Highlander: The Final Dimension,99.0,1994
Federal Hill,97.0,1995
In the Mouth of Madness,95.0,1994
8 Seconds,105.0,1994
Above the Rim,96.0,1994
Addams Family Values,94.0,1993
Martin Lawrence: You So Crazy,84.0,1994
The Age of Innocence,139.0,1993
Airheads,92.0,1994
The Air Up There,107.0,1994
Another Stakeout,105.0,1993
Bad Girls,99.0,1994
Barcelona,100.0,1994
Being Human,122.0,1994
The Beverly Hillbillies,93.0,1993
Beverly Hills Cop III,104.0,1994
Black Beauty,88.0,1994
Blink,106.0,1994
Blown Away,121.0,1994
Blue Chips,108.0,1994
Blue Sky,101.0,1994
Body Snatchers,87.0,1993
Boxing Helena,107.0,1993
A Bronx Tale,121.0,1993
Cabin Boy,80.0,1994
Calendar Girl,90.0,1993
Carlito's Way,144.0,1993
City Slickers II: The Legend of Curly's Gold,116.0,1994
Clean Slate,107.0,1994
Cliffhanger,112.0,1993
Coneheads,88.0,1993
Color of Night,121.0,1994
Cops & Robbersons,93.0,1994
The Cowboy Way,102.0,1994
Dangerous Game,108.0,1993
Dave,110.0,1993
Dazed and Confused,102.0,1993
Demolition Man,115.0,1993
The Endless Summer 2,109.0,1994
Even Cowgirls Get the Blues,96.0,1994
Fatal Instinct,91.0,1993
Farewell My Concubine,171.0,1993
The Favor,97.0,1994
Fearless,122.0,1993
Fear of a Black Hat,88.0,1994
With Honors,103.0,1994
Flesh and Bone,126.0,1993
Widows' Peak,101.0,1994
For Love or Money,94.0,1993
The Firm,154.0,1993
Free Willy,112.0,1993
Fresh,114.0,1994
The Fugitive,130.0,1993
Geronimo: An American Legend,115.0,1993
The Getaway,115.0,1994
Getting Even with Dad,109.0,1994
Go Fish,83.0,1994
A Good Man in Africa,94.0,1994
Guilty as Sin,107.0,1993
Hard Target,97.0,1993
Heaven & Earth,140.0,1993
Hot Shots! Part Deux,86.0,1993
Live Nude Girls,95.0,1995
The Englishman Who Went Up a Hill But Came Down a Mountain,99.0,1995
The House of the Spirits,140.0,1993
House Party 3,100.0,1994
The Hudsucker Proxy,111.0,1994
I'll Do Anything,115.0,1994
In the Army Now,91.0,1994
In the Line of Fire,128.0,1993
In the Name of the Father,133.0,1993
The Inkwell,110.0,1994
What's Love Got to Do with It,118.0,1993
Jimmy Hollywood,112.0,1994
Judgment Night,110.0,1993
Jurassic Park,127.0,1993
Kalifornia,117.0,1993
Killing Zoe,96.0,1993
King of the Hill,103.0,1993
Lassie,94.0,1994
Last Action Hero,130.0,1993
Life With Mikey,91.0,1993
Lightning Jack,98.0,1994
M. Butterfly,101.0,1993
Made in America,111.0,1993
Malice,107.0,1993
The Man without a Face,114.0,1993
Manhattan Murder Mystery,104.0,1993
Menace II Society,97.0,1993
Executive Decision,133.0,1996
In the Realm of the Senses,105.0,1976
What Happened Was...,91.0,1994
Much Ado About Nothing,111.0,1993
Mr. Jones,114.0,1993
Mr. Wonderful,98.0,1993
Mrs. Doubtfire,125.0,1993
Naked,131.0,1993
The Next Karate Kid,107.0,1994
The New Age,112.0,1994
No Escape,118.0,1994
North,87.0,1994
Orlando,93.0,1992
A Perfect World,138.0,1993
Philadelphia,125.0,1993
The Piano,121.0,1993
Poetic Justice,109.0,1993
The Program,112.0,1993
The Puppet Masters,109.0,1994
Radioland Murders,108.0,1994
The Ref,97.0,1994
The Remains of the Day,134.0,1993
Renaissance Man,128.0,1994
Rising Sun,125.0,1993
The Road to Wellville,118.0,1994
RoboCop 3,104.0,1993
Robin Hood: Men in Tights,104.0,1993
Romeo Is Bleeding,100.0,1993
Romper Stomper,94.0,1992
Ruby in Paradise,114.0,1993
Rudy,114.0,1993
The Saint of Fort Washington,99.0,1993
Savage Nights,126.0,1992
Schindler's List,195.0,1993
The Scout,101.0,1994
Searching for Bobby Fischer,110.0,1993
Second Best,105.0,1994
The Secret Garden,102.0,1993
Serial Mom,95.0,1994
The Shadow,108.0,1994
Shadowlands,131.0,1993
Short Cuts,187.0,1993
A Simple Twist of Fate,106.0,1994
Sirens,98.0,1993
Six Degrees of Separation,112.0,1993
Sleepless in Seattle,105.0,1993
Sliver,108.0,1993
Blade Runner,117.0,1982
Son in Law,95.0,1993
So I Married an Axe Murderer,93.0,1993
Striking Distance,102.0,1993
Harem,113.0,1985
Super Mario Bros.,104.0,1993
Surviving the Game,96.0,1994
Terminal Velocity,102.0,1994
Thirty Two Short Films About Glenn Gould,93.0,1993
Threesome,93.0,1994
The Nightmare Before Christmas,76.0,1993
The Three Musketeers,105.0,1993
Tombstone,130.0,1993
Trial by Jury,107.0,1994
True Romance,120.0,1993
The War Room,96.0,1993
The Pagemaster,80.0,1994
"Paris, France",112.0,1994
"The Beans of Egypt, Maine",0.0,1994
Killer,97.0,1994
Welcome to the Dollhouse,88.0,1995
Germinal,160.0,1993
Chasers,102.0,1994
Cronos,94.0,1993
Naked in New York,95.0,1993
Kika,117.0,1993
Bhaji on the Beach,100.0,1994
Little Big League,119.0,1994
The Slingshot,102.0,1993
Wide Eyed and Legless,102.0,1993
Foreign Student,90.0,1994
"Ciao, Professore!",100.0,1992
Spanking the Monkey,106.0,1994
The Little Rascals,82.0,1994
À la mode,82.0,1993
Andre,94.0,1994
The Escort,92.0,1993
Princess Caraboo,97.0,1994
The Celluloid Closet,102.0,1996
Café au Lait,94.0,1993
Dear Diary,100.0,1993
I Don't Want to Talk About It,106.0,1993
The Brady Bunch Movie,84.0,1995
Home Alone,103.0,1990
Ghost,127.0,1990
Aladdin,90.0,1992
Terminator 2: Judgment Day,137.0,1991
Dances with Wolves,181.0,1990
Tough and Deadly,92.0,1995
Batman,126.0,1989
The Silence of the Lambs,119.0,1991
Snow White and the Seven Dwarfs,83.0,1937
Beauty and the Beast,84.0,1991
Pinocchio,88.0,1940
Pretty Woman,119.0,1990
Window to Paris,87.0,1993
The Wild Bunch,145.0,1969
Love and a .45,101.0,1994
The Wooden Man's Bride,113.0,1994
A Great Day in Harlem,60.0,1994
Bye Bye Love,106.0,1995
One Fine Day,108.0,1996
Candyman: Farewell to the Flesh,93.0,1995
Century,112.0,1993
Fargo,98.0,1996
Homeward Bound II: Lost in San Francisco,89.0,1996
Heavy Metal,90.0,1981
Hellraiser: Bloodline,86.0,1996
The Pallbearer,97.0,1996
Jane Eyre,112.0,1996
Loaded,91.0,1996
Bread and Chocolate,100.0,1974
The Aristocats,78.0,1970
The Flower of My Secret,107.0,1995
Two Much,118.0,1996
Ed,94.0,1996
Scream of Stone,105.0,1991
My Favorite Season,127.0,1993
A Modern Affair,90.0,1996
Condition Red,83.0,1995
Halfaouine: Boy of the Terraces,98.0,1990
A Thin Line Between Love and Hate,108.0,1996
The Last Supper,92.0,1995
Primal Fear,129.0,1996
Rude,89.0,1995
Carried Away,109.0,1996
All Dogs Go to Heaven 2,82.0,1996
Land and Freedom,109.0,1995
Denise Calls Up,80.0,1995
Theodore Rex,92.0,1995
A Family Thing,109.0,1996
Frisk,88.0,1996
Sgt. Bilko,90.0,1996
Jack & Sarah,110.0,1995
Girl 6,108.0,1996
Diabolique,107.0,1996
"Little Indian, Big City",90.0,1994
Roula,97.0,1995
Peanuts – Die Bank zahlt alles,,1996
Happy Weekend,,1996
Nelly and Monsieur Arnaud,106.0,1996
Courage Under Fire,117.0,1996
Mission: Impossible,110.0,1996
Cold Fever,85.0,1995
Moll Flanders,123.0,1996
The Superwife,86.0,1996
"301, 302",100.0,1995
DragonHeart,103.0,1996
Und keiner weint mir nach,,1996
My Mother's Courage,93.0,1995
Eddie,100.0,1996
Yankee Zulu,100.0,1993
Billy's Holiday,92.0,1995
Purple Noon,115.0,1960
August,94.0,1996
James and the Giant Peach,79.0,1996
Fear,97.0,1996
Kids in the Hall: Brain Candy,89.0,1996
Faithful,91.0,1996
Underground,170.0,1995
All Things Fair,130.0,1995
Bloodsport II,90.0,1996
Pather Panchali,125.0,1955
The World of Apu,117.0,1959
Mystery Science Theater 3000: The Movie,73.0,1996
Tarantella,100.0,1996
Space Jam,88.0,1996
Barbarella,98.0,1968
Hostile Intentions,90.0,1995
They Bite,98.0,1996
Some Folks Call It a Sling Blade,25.0,1994
The Run of the Country,0.0,1995
Alphaville,100.0,1965
Coup de Torchon,128.0,1981
Tigrero: A Film That Was Never Made,75.0,1994
The Eye of Vichy,110.0,1993
Windows,96.0,1980
It's My Party,110.0,1996
Country Life,118.0,1994
Operation Dumbo Drop,107.0,1995
The Promise,115.0,1995
Mrs. Winterbourne,105.0,1996
Solo,94.0,1996
Under The Domim Tree,0.0,1994
The Substitute,114.0,1996
True Crime,94.0,1996
Butterfly Kiss,88.0,1995
Feeling Minnesota,99.0,1996
Delta of Venus,99.0,1995
To Cross the Rubicon,0.0,1991
Angus,90.0,1995
Priest Daens,138.0,1992
Faces,130.0,1968
Boys,86.0,1996
The Quest,95.0,1996
Cosi,102.0,1996
Sunset Park,99.0,1996
Mulholland Falls,107.0,1996
The Truth About Cats & Dogs,93.0,1996
Oliver & Company,74.0,1988
Celtic Pride,91.0,1996
Flipper,95.0,1996
Captives,100.0,1994
Of Love and Shadows,103.0,1994
Dead Man,121.0,1995
The Horseman on the Roof,135.0,1995
Switchblade Sisters,91.0,1975
Mouth to Mouth,106.0,1995
The Visitors,107.0,1993
Multiplicity,117.0,1996
"The Haunted World of Edward D. Wood, Jr.",112.0,1996
Two Friends,86.0,2002
The Craft,101.0,1996
The Great White Hype,91.0,1996
Last Dance,103.0,1996
Cold Comfort Farm,95.0,1995
"Institute Benjamenta, or This Dream People Call Human Life",104.0,1995
Heaven's Prisoners,132.0,1996
Original Gangstas,99.0,1996
The Rock,136.0,1996
Getting Away with Murder,91.0,1996
Cemetery Man,105.0,1994
Twister,113.0,1996
Barb Wire,98.0,1996
Le Garçu,102.0,1995
Honeymoon,92.0,1996
Ghost in the Shell,83.0,1995
Thinner,92.0,1996
Spy Hard,81.0,1996
Brothers in Trouble,102.0,1995
A Close Shave,30.0,1995
Force of Evil,78.0,1948
The Stupids,94.0,1996
The Arrival,115.0,1996
The Man from Down Under,103.0,1943
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95.0,1964
Careful,100.0,1992
A Month by the Lake,92.0,1995
Gold Diggers: The Secret of Bear Mountain,94.0,1995
Kim,113.0,1950
Carmen Miranda: Bananas Is My Business,91.0,1995
Ashes of Time,100.0,1994
The Jar,86.0,1994
Maya Lin: A Strong Clear Vision,105.0,1995
Stalingrad,134.0,1993
The Phantom,100.0,1996
Striptease,115.0,1996
The Last of the High Kings,102.0,1996
Heavy,105.0,1995
Jack,113.0,1996
I Shot Andy Warhol,103.0,1996
The Grass Harp,107.0,1995
Someone Else's America,96.0,1995
Life is Rosy,80.0,1987
Quartier Mozart,80.0,1992
Touki Bouki,85.0,1973
God's Gift,75.0,1982
Spirits of the Dead,121.0,1968
Babyfever,109.0,1994
Pharaoh's  Army,90.0,1995
Trainspotting,93.0,1996
Til There Was You,113.0,1997
Independence Day,145.0,1996
Stealing Beauty,116.0,1996
The Fan,116.0,1996
The Hunchback of Notre Dame,91.0,1996
The Cable Guy,96.0,1996
Kingpin,113.0,1996
Eraser,115.0,1996
The Gate of Heavenly Peace,180.0,1995
The Nutty Professor,95.0,1996
"I, the Worst of All",105.0,1990
An Unforgettable Summer,82.0,1994
A Hungarian Fairy Tale,97.0,1987
My Life and Times With Antonin Artaud,90.0,1993
Midnight Dancers,100.0,1994
Somebody to Love,102.0,1994
A Very Natural Thing,80.0,1974
The Old Lady Who Walked in the Sea,0.0,1991
Daylight,115.0,1996
The Frighteners,110.0,1996
Lone Star,135.0,1996
Harriet the Spy,100.0,1996
Phenomenon,123.0,1996
Walking and Talking,86.0,1996
She's the One,96.0,1996
A Time to Kill,149.0,1996
American Buffalo,88.0,1996
Rendezvous in Paris,94.0,1995
Alaska,109.0,1996
Fled,98.0,1996
Kazaam,93.0,1996
Magic Hunter,106.0,1994
Larger Than Life,93.0,1996
A Boy Called Hate,0.0,1996
Power 98,89.0,1996
Two Deaths,102.0,1995
A Very Brady Sequel,90.0,1996
Stefano Quantestorie,82.0,1993
Death in the Garden,104.0,1956
Hedd Wyn,123.0,1992
La Collectionneuse,89.0,1967
Kaspar Hauser,139.0,1993
Regular Guys,100.0,1996
Diebinnen,,1996
The Convent,91.0,1995
The Adventures of Pinocchio,90.0,1996
Joe's Apartment,78.0,1996
The First Wives Club,102.0,1996
Stonewall,99.0,1995
Ransom,117.0,1996
High School High,86.0,1996
Phat Beach,89.0,1996
Foxfire,102.0,1996
Chain Reaction,107.0,1996
Matilda,98.0,1996
Emma,121.0,1996
The Crow: City of Angels,84.0,1996
House Arrest,108.0,1996
Eyes Without a Face,90.0,1960
Bordello of Blood,87.0,1996
Lotto Land,87.0,1995
The Story of Xinghua,90.0,1994
The Day the Sun Turned Cold,99.0,1994
Flirt,85.0,1995
The Big Squeeze,98.0,1996
The Spitfire Grill,117.0,1996
Escape from L.A.,97.0,1996
Cyclo,123.0,1995
Basquiat,108.0,1996
Tin Cup,135.0,1996
Dingo,109.0,1991
The Ballad of Narayama,98.0,1958
Every Other Weekend,104.0,1990
Mille bolle blu,0.0,1993
Crows and Sparrows,113.0,1949
The Godfather,175.0,1972
Maybe... Maybe Not,90.0,1994
Police Story 3: Supercop,95.0,1992
Manny & Lo,88.0,1996
Wife,89.0,1953
Small Faces,108.0,1996
Bound,108.0,1996
Carpool,89.0,1996
Death in Brunswick,109.0,1990
Kansas City,116.0,1996
Gone Fishin',94.0,1997
Lover's Knot,82.0,1996
Vive L'Amour,118.0,1994
Shadow of Angels,101.0,1976
Killer: A Journal of Murder,91.0,1996
Nothing to Lose,0.0,1994
Project S,104.0,1993
Girls Town,90.0,1996
Bye-Bye,104.0,1995
The Relic,110.0,1997
The Island of Dr. Moreau,96.0,1996
First Kid,101.0,1996
The Trigger Effect,94.0,1996
Sweet Nothing,89.0,1995
Bogus,110.0,1996
Bulletproof,84.0,1996
Talk of Angels,96.0,1998
The Land Before Time III: The Time of the Great Giving,71.0,1995
1-900,0.0,1994
Baton Rouge,,1988
Halloween: The Curse of Michael Myers,88.0,1995
Twelfth Night,134.0,1996
Mother Night,114.0,1996
Liebelei,88.0,1933
Venice,110.0,2010
Wild Reeds,115.0,1994
For Whom the Bell Tolls,170.0,1943
The Philadelphia Story,112.0,1940
Singin' in the Rain,103.0,1952
An American in Paris,113.0,1951
Funny Face,103.0,1957
Breakfast at Tiffany's,110.0,1961
Vertigo,128.0,1958
Rear Window,112.0,1954
It Happened One Night,105.0,1934
Gaslight,114.0,1944
The Gay Divorcee,107.0,1934
North by Northwest,136.0,1959
The Apartment,125.0,1960
Some Like It Hot,122.0,1959
Charade,113.0,1963
Casablanca,102.0,1942
The Maltese Falcon,100.0,1941
My Fair Lady,170.0,1964
Sabrina,113.0,1954
Roman Holiday,119.0,1953
The Little Princess,93.0,1939
Meet Me in St. Louis,113.0,1944
The Wizard of Oz,102.0,1939
Gone with the Wind,238.0,1939
My Favorite Year,92.0,1982
Sunset Boulevard,110.0,1950
Citizen Kane,119.0,1941
2001: A Space Odyssey,149.0,1968
Golden Earrings,95.0,1947
All About Eve,138.0,1950
The Women,133.0,1939
Rebecca,130.0,1940
Foreign Correspondent,120.0,1940
Notorious,102.0,1946
Spellbound,111.0,1945
An Affair to Remember,111.0,1957
To Catch a Thief,106.0,1955
Father of the Bride,92.0,1950
The Band Wagon,112.0,1953
Ninotchka,110.0,1939
