Movie_id,short_language,language
123360,fr,Français
5757,en,English
39428,en,English
124639,en,English
9302,es,Español
11000,en,English
249882,en,English
16388,en,English
9737,en,English
30765,en,English
10474,de,Deutsch
22279,en,English
30157,en,English
568,,
11780,en,English
34996,fr,Français
414,la,Latin
649,gd,
1873,en,English
5894,es,Español
1775,cn,广州话 / 廣州話
8839,en,English
20649,en,English
10329,fr,Français
8963,de,Deutsch
26564,en,English
8068,fr,Français
8512,en,English
1572,en,English
13552,en,English
259209,en,English
6520,en,English
9073,en,English
10428,fr,Français
17447,en,English
9886,cn,广州话 / 廣州話
9482,en,English
19326,ja,日本語
9344,zh,普通话
9071,it,Italiano
8973,en,English
15730,en,English
47608,ar,العربية
2293,fr,Français
9070,,
68274,en,English
48787,en,English
34574,en,English
1642,en,English
11472,es,Español
36196,en,English
11980,en,English
58372,en,English
32646,en,English
10533,en,English
56088,,
10802,fr,Français
10149,en,English
18402,fr,Français
9348,en,English
139408,hr,Hrvatski
281,bs,Bosanski
5967,en,English
79593,en,English
47939,de,Deutsch
36834,en,English
9090,en,English
3512,en,English
52856,en,English
77350,en,English
9560,en,English
9804,en,English
31611,fr,Français
65796,mn,
49805,es,Español
26258,en,English
50797,en,English
19155,en,English
76,en,English
11017,en,English
37141,en,English
9382,fr,Français
6715,en,English
18256,en,English
22625,en,English
2292,en,English
1909,en,English
8984,de,Deutsch
61813,ro,Română
4954,en,English
62488,en,English
10531,en,English
11929,fr,Français
8467,en,English
10451,id,Bahasa indonesia
20156,ms,Bahasa melayu
18395,en,English
522,it,Italiano
397,ja,日本語
10525,ru,Pусский
27985,en,English
15789,fr,Français
27303,en,English
21183,ja,日本語
10954,en,English
47867,en,English
43475,en,English
72031,en,English
14275,en,English
1024,en,English
17207,en,English
13701,en,English
14819,en,English
32631,en,English
11777,ru,Pусский
628,en,English
87729,de,Deutsch
18713,en,English
6280,en,English
9061,es,Español
37108,en,English
6071,ru,Pусский
11,en,English
9587,en,English
19101,en,English
49980,en,English
17961,en,English
18183,,
4476,en,English
11008,en,English
47504,en,English
32325,en,English
43742,hu,Magyar
28313,en,English
11318,en,English
3036,fr,Français
40490,en,English
24070,en,English
8986,en,English
10510,en,English
17402,es,Español
38722,en,English
8438,en,English
11593,en,English
1945,en,English
39310,en,English
109560,de,Deutsch
56428,es,Español
63105,en,English
131957,cn,广州话 / 廣州話
241,en,English
9058,en,English
527,en,English
18220,de,Deutsch
6950,ru,Pусский
101,sq,shqip
63020,en,English
2307,mk,
680,en,English
41478,de,Deutsch
25296,fr,Français
40156,fr,Français
11450,es,Español
30304,en,English
10452,en,English
12106,en,English
161495,en,English
3586,en,English
110,it,Italiano
108,sv,svenska
109,en,English
159185,en,English
36357,en,English
92769,en,English
28033,en,English
22586,en,English
14334,en,English
2636,en,English
2164,en,English
11395,en,English
278,zh,普通话
9905,en,English
87078,he,עִבְרִית
12527,en,English
20306,en,English
36614,fr,Français
27993,en,English
31439,en,English
9067,en,English
9059,en,English
193,en,English
25066,en,English
46797,fr,Français
12122,en,English
11381,en,English
32636,en,English
36141,en,English
95963,en,English
1587,en,English
9271,ru,Pусский
2064,en,English
19855,en,English
60855,en,English
236,fr,Français
48287,de,Deutsch
3049,en,English
2759,de,Deutsch
12635,en,English
10497,fr,Français
11382,en,English
9331,en,English
10731,en,English
10464,en,English
34152,en,English
9495,en,English
29973,en,English
888,en,English
13,de,Deutsch
712,fr,Français
16295,en,English
48992,fr,Français
10879,en,English
10660,fr,Français
10714,en,English
41647,es,Español
8587,kw,
1689,en,English
11596,en,English
854,en,English
9359,en,English
23333,es,Español
36593,en,English
12280,en,English
2788,en,English
10427,en,English
11011,en,English
49803,en,English
8987,en,English
1637,en,English
15128,en,English
8831,en,English
36955,es,Español
10449,en,English
10395,cs,Český
12160,en,English
40480,hu,Magyar
52038,en,English
29444,en,English
26352,en,English
39953,cn,广州话 / 廣州話
41580,en,English
315,en,English
22067,en,English
18242,en,English
11667,nv,
32502,ja,日本語
267188,en,English
28732,en,English
75555,mi,
42981,en,English
278939,en,English
291731,ko,한국어/조선말
226229,fr,Français
203119,en,English
172923,en,English
316098,en,English
8011,en,English
171857,es,Español
2654,fr,Français
18069,en,English
19092,en,English
2758,zh,普通话
38129,en,English
10436,en,English
13595,tl,
46094,en,English
9409,ja,日本語
11853,fr,Français
16771,it,Italiano
46924,en,English
11041,en,English
306,fr,Français
14522,it,Italiano
26203,ru,Pусский
178,es,Español
19819,en,English
57834,fr,Français
4722,fr,Français
18215,pl,Polski
1607,fr,Français
26391,hu,Magyar
117553,pl,Polski
6075,zh,普通话
11310,en,English
18658,en,English
9350,en,English
9612,en,English
2124,en,English
26261,ga,Gaeilge
19176,en,English
49299,en,English
11566,no,Norsk
9571,sv,svenska
9739,en,English
24257,en,English
34444,en,English
26141,en,English
10997,es,Español
50463,en,English
10443,en,English
20239,en,English
16297,de,Deutsch
18551,zh,普通话
25440,en,English
9024,en,English
37233,en,English
1634,en,English
13815,en,English
5503,en,English
35588,en,English
2087,en,English
41579,en,English
18620,en,English
41006,en,English
4916,en,English
2019,en,English
31642,en,English
9255,cn,广州话 / 廣州話
26271,en,English
10612,en,English
2259,en,English
16097,en,English
11934,en,English
106143,en,English
12475,fr,Français
9386,de,Deutsch
7984,ru,Pусский
59930,fr,Français
15765,en,English
31643,en,English
6,en,English
329,en,English
10909,en,English
507,fr,Français
34024,en,English
29918,en,English
9593,en,English
42580,en,English
22317,en,English
1413,en,English
12121,en,English
2246,en,English
10502,es,Español
10440,en,English
9516,fr,Français
2320,en,English
5879,en,English
83718,sk,Slovenčina
11971,de,Deutsch
2625,en,English
31911,en,English
788,en,English
21450,sv,svenska
11231,en,English
41588,en,English
10447,en,English
31586,en,English
9300,en,English
9559,en,English
9800,en,English
713,en,English
8291,la,Latin
18133,en,English
25557,en,English
22588,en,English
10872,en,English
1245,en,English
11858,en,English
7007,fr,Français
10467,ar,العربية
5550,de,Deutsch
8005,en,English
2088,fr,Français
10412,vi,Tiếng Việt
47889,en,English
14534,en,English
56583,en,English
41878,en,English
424,en,English
35233,en,English
14291,en,English
103413,fr,Français
11236,en,English
11592,en,English
8850,en,English
10445,en,English
695,ja,日本語
43535,en,English
12519,,
23210,en,English
858,en,English
867,,
78,en,English
13203,en,English
10442,en,English
11074,en,English
33367,,
9607,,
17585,en,English
9057,,
20967,en,English
10635,en,English
9479,fr,Français
10057,en,English
11969,en,English
41590,en,English
319,en,English
26408,it,Italiano
15139,en,English
161158,en,English
218473,en,English
85247,en,English
11446,ru,Pусский
51980,es,Español
24405,en,English
11655,en,English
11800,gd,
8223,en,English
14587,en,English
31504,en,English
41653,en,English
53185,en,English
95743,en,English
23637,fr,Français
17600,en,English
10897,en,English
349394,en,English
21352,en,English
68806,it,Italiano
37345,en,English
32562,en,English
47507,en,English
25403,es,Español
124304,en,English
9066,it,Italiano
771,ru,Pусский
251,en,English
812,en,English
280,en,English
581,cs,Český
80350,en,English
268,en,English
274,hu,Magyar
408,en,English
10020,en,English
10895,en,English
114,en,English
41043,en,English
576,en,English
15477,en,English
59146,de,Deutsch
124472,en,English
30528,yi,
7300,zh,普通话
10824,en,English
261246,en,English
275,en,English
25059,en,English
11827,en,English
8766,en,English
23570,en,English
47333,en,English
54850,en,English
51242,en,English
10112,en,English
4307,en,English
46029,fr,Français
32308,en,English
88893,en,English
52873,en,English
123505,en,English
340210,en,English
44281,en,English
28121,en,English
12520,vi,Tiếng Việt
1592,en,English
166901,en,English
36447,en,English
19042,es,Español
38884,en,English
47449,en,English
36259,en,English
41852,en,English
40926,en,English
9099,en,English
2021,en,English
61752,en,English
10988,en,English
11479,en,English
398959,fr,Français
287305,en,English
339428,en,English
12652,es,Español
10684,en,English
954,en,English
68445,fr,Français
18989,en,English
10801,en,English
54285,en,English
8840,en,English
278978,en,English
124625,de,Deutsch
11107,en,English
16417,en,English
70934,en,English
10363,en,English
161070,en,English
10539,en,English
10543,en,English
18414,ja,日本語
47502,en,English
11902,en,English
27098,en,English
25087,en,English
5801,en,English
896,en,English
3065,en,English
318177,en,English
2300,en,English
8069,en,English
288173,en,English
187851,en,English
27768,en,English
221917,en,English
8072,mi,
35797,en,English
88030,fr,Français
185191,en,English
83857,en,English
33245,en,English
124460,en,English
27281,en,English
105045,en,English
40001,es,Español
29621,ja,日本語
117730,en,English
20762,en,English
37144,en,English
48260,ja,日本語
12656,en,English
38867,en,English
277270,pt,Português
25969,de,Deutsch
44103,en,English
753,ja,日本語
43634,vi,Tiếng Việt
9103,en,English
90214,en,English
29649,es,Español
10990,en,English
8866,fr,Français
12233,de,Deutsch
23449,es,Español
36355,de,Deutsch
37667,pl,Polski
90148,he,עִבְרִית
922,en,English
11876,en,English
52633,en,English
62364,en,English
11687,en,English
9304,en,English
73183,en,English
131232,en,English
9100,en,English
20759,en,English
46063,en,English
32513,en,English
40651,en,English
36915,en,English
40507,en,English
9802,de,Deutsch
25697,cn,广州话 / 廣州話
21588,ja,日本語
664,hu,Magyar
11867,en,English
47119,ru,Pусский
314352,en,English
9323,en,English
10280,en,English
10535,en,English
124613,en,English
532,en,English
26744,fr,Français
16299,en,English
10547,en,English
245268,en,English
935,en,English
55613,en,English
41007,la,Latin
35645,es,Español
110465,en,English
255546,en,English
40751,it,Italiano
275096,en,English
85778,da,Dansk
11101,en,English
9826,fr,Français
9879,de,Deutsch
63564,es,Español
22621,en,English
7095,,
26890,en,English
46732,en,English
124633,fr,Français
202425,en,English
196940,en,English
77771,es,Español
181083,en,English
41225,es,Español
188589,en,English
87190,hi,हिन्दी
627,en,English
32872,sv,svenska
602,en,English
14553,en,English
9566,it,Italiano
10545,en,English
9894,en,English
11543,,
9268,en,English
52059,it,Italiano
9327,en,English
123763,en,English
81949,fr,Français
42005,ar,العربية
124306,en,English
183955,it,Italiano
44535,zh,普通话
44495,,
78285,it,Italiano
11228,de,Deutsch
10779,en,English
26748,hu,Magyar
38223,en,English
9294,en,English
49963,en,English
11363,en,English
1645,es,Español
31546,en,English
77056,en,English
36344,en,English
18550,fr,Français
11511,en,English
172198,en,English
34170,fr,Français
281085,en,English
109478,en,English
124645,en,English
12606,it,Italiano
69895,ja,日本語
35206,fr,Français
151489,ru,Pусский
4837,en,English
12632,de,Deutsch
9098,es,Español
282919,en,English
124614,zh,普通话
18975,,
11962,en,English
2925,en,English
28628,en,English
3595,en,English
9308,en,English
92381,,
18555,en,English
12123,hu,Magyar
10830,en,English
3573,en,English
10546,en,English
18862,fr,Français
31417,,
9431,it,Italiano
124619,en,English
297645,es,Español
48144,en,English
46986,en,English
144982,it,Italiano
47907,en,English
10061,fr,Français
36266,en,English
549,en,English
10478,ar,العربية
66634,en,English
116690,en,English
213917,en,English
145925,es,Español
100914,en,English
238,en,English
159,en,English
11134,ca,Català
88224,en,English
132641,es,Español
42758,en,English
9303,en,English
23945,en,English
37820,en,English
22479,en,English
9054,en,English
241058,en,English
11985,en,English
10232,fr,Français
59569,de,Deutsch
410921,,
38955,de,Deutsch
110513,fr,Français
114089,en,English
11015,en,English
9306,fr,Français
12559,cs,Český
58770,de,Deutsch
124851,is,Íslenska
3587,ja,日本語
10723,en,English
56077,en,English
19004,de,Deutsch
101230,ko,한국어/조선말
253632,en,English
10987,de,Deutsch
44705,en,English
20318,de,Deutsch
43596,en,English
79782,it,Italiano
26933,af,Afrikaans
27854,en,English
981,,
872,en,English
2769,fr,Français
13320,it,Italiano
164,en,English
426,en,English
567,en,English
3078,en,English
13528,en,English
28288,en,English
213,fr,Français
284,de,Deutsch
239,ru,Pусский
4808,sr,Srpski
289,de,Deutsch
963,sv,svenska
11113,en,English
6620,en,English
804,bn,বাংলা
26531,bn,বাংলা
909,en,English
630,en,English
770,en,English
31044,en,English
599,es,Español
15,en,English
62,,
121357,,
705,en,English
22490,fr,Français
223,en,English
25670,fr,Français
303,en,English
4174,pt,Português
8356,,
381,en,English
20758,en,English
29376,ru,Pусский
1859,en,English
18299,en,English
17281,vi,Tiếng Việt
64382,de,Deutsch
10907,en,English
32093,en,English
1939,he,עִבְרִית
22292,it,Italiano
3598,en,English
3080,en,English
198,en,English
13562,en,English
1712,en,English
220,,
3529,en,English
3085,nl,Nederlands
2897,fr,Français
1585,la,Latin
3083,es,Español
900,en,English
43795,en,English
85638,es,Español
50001,en,English
43905,en,English
22688,en,English
23114,en,English
26378,en,English
40206,en,English
22356,en,English
260,en,English
43488,en,English
22613,en,English
10331,es,Español
488,en,English
22733,es,Español
261,fr,Français
57575,it,Italiano
32574,en,English
22657,es,Español
76464,fr,Français
22649,en,English
176841,,
125587,it,Italiano
39448,en,English
52855,en,English
39940,en,English
172868,en,English
85328,en,English
124632,de,Deutsch
11076,en,English
63945,es,Español
58985,en,English
890,en,English
10861,en,English
1770,en,English
44465,it,Italiano
2033,en,English
18203,en,English
9333,fr,Français
47260,de,Deutsch
9400,ja,日本語
9401,en,English
12241,en,English
25739,en,English
161806,en,English
11306,en,English
9625,fr,Français
10680,en,English
6346,en,English
18660,en,English
35115,en,English
14821,de,Deutsch
14136,en,English
10869,en,English
22660,en,English
19186,en,English
31102,en,English
6878,pt,Português
15944,cn,广州话 / 廣州話
18444,zh,普通话
20723,,
173,en,English
864,de,Deutsch
24795,ru,Pусский
11224,en,English
81310,en,English
15947,en,English
9078,en,English
29682,en,English
8367,en,English
433,en,English
11360,en,English
11114,sr,Srpski
12335,fr,Français
12092,,
10948,ar,العربية
11229,fr,Français
15121,wo,Wolof
562,fr,Français
10163,en,English
48862,fr,Français
117036,de,Deutsch
47199,it,Italiano
11159,,
9591,en,English
30500,en,English
41843,en,English
55058,fr,Français
10938,en,English
11412,en,English
10586,en,English
42314,la,Latin
27845,en,English
108365,en,English
23223,en,English
49471,en,English
38153,,
25147,en,English
9716,es,Español
43777,en,English
454,ro,Română
10218,hu,Magyar
819,,
38191,tl,
56830,en,English
11238,en,English
27256,fr,Français
31530,en,English
66473,en,English
28120,en,English
1834,es,Español
26282,en,English
37218,en,English
252,en,English
116356,en,English
16372,fr,Français
11561,en,English
11302,en,English
623,fr,Français
583,en,English
12614,en,English
21711,en,English
11575,hu,Magyar
475,en,English
11331,en,English
521,en,English
21202,en,English
88,en,English
500,,
792,fr,Français
8491,cy,Cymraeg
402,fr,Français
10537,en,English
11386,de,Deutsch
9504,de,Deutsch
15764,,
601,en,English
67365,en,English
25842,it,Italiano
2119,en,English
744,en,English
136311,en,English
221,en,English
702,en,English
25750,en,English
17642,en,English
427043,en,English
146341,en,English
9305,en,English
37616,en,English
11112,de,Deutsch
21612,en,English
141210,fr,Français
102461,en,English
36998,es,Español
200383,,
116844,zh,普通话
1630,zh,普通话
26626,en,English
124837,de,Deutsch
11816,ja,日本語
11843,en,English
10379,en,English
2756,en,English
790,vi,Tiếng Việt
1103,en,English
11298,es,Español
4480,en,English
4481,en,English
49688,ja,日本語
10765,fr,Français
762,it,Italiano
44497,,
85588,en,English
278621,it,Italiano
99479,la,Latin
55049,de,Deutsch
124829,cn,广州话 / 廣州話
79306,en,English
356054,ms,Bahasa melayu
10548,th,ภาษาไทย
531,en,English
104931,ja,日本語
4483,en,English
18919,en,English
31556,en,English
26167,en,English
26174,en,English
61461,en,English
117500,en,English
218713,zh,普通话
217802,de,Deutsch
127973,en,English
659,,
30892,cn,广州话 / 廣州話
86369,en,English
8074,,
124676,en,English
38554,en,English
49763,en,English
41326,fr,Français
36555,es,Español
10608,en,English
11216,,
7452,en,English
64567,en,English
892,en,English
1600,en,English
26561,nl,Nederlands
975,en,English
18129,,
54405,en,English
150823,en,English
409,es,Español
38251,en,English
10161,de,Deutsch
1412,yi,
41768,de,Deutsch
10409,pl,Polski
14285,fr,Français
2469,es,Español
10174,en,English
31225,en,English
510,en,English
11455,en,English
1891,fr,Français
2493,de,Deutsch
85,en,English
68,en,English
679,pt,Português
429,en,English
13446,en,English
389,en,English
947,en,English
185,en,English
595,fr,Français
28,it,Italiano
335,en,English
1892,en,English
144,en,English
1092,en,English
769,fr,Français
348,de,Deutsch
766,it,Italiano
175,de,Deutsch
11645,fr,Français
10835,it,Italiano
539,en,English
525,en,English
240,en,English
600,en,English
530,it,Italiano
10705,en,English
279,it,Italiano
3109,en,English
311,en,English
1578,en,English
703,en,English
9549,en,English
1398,en,English
387,en,English
9277,en,English
343,ru,Pусский
37291,en,English
490,de,Deutsch
11235,en,English
218,fr,Français
763,en,English
9665,fr,Français
18971,en,English
696,fr,Français
379,nl,Nederlands
207,en,English
37247,lv,Latviešu
1480,en,English
9322,en,English
826,en,English
422,fr,Français
829,it,Italiano
828,pt,Português
3090,fr,Français
9964,en,English
3063,it,Italiano
13667,en,English
694,fr,Français
235,en,English
832,en,English
765,en,English
5925,fr,Français
11778,en,English
4485,fr,Français
137,en,English
33,en,English
982,en,English
8428,es,Español
212,en,English
105,en,English
1633,en,English
11202,zh,普通话
1554,es,Español
149,en,English
8009,it,Italiano
903,en,English
11673,en,English
3034,hu,Magyar
339,en,English
10404,es,Español
914,en,English
756,en,English
288,en,English
910,en,English
2640,es,Español
16633,fr,Français
665,en,English
11031,en,English
11314,en,English
15143,en,English
89,en,English
10322,en,English
783,en,English
10644,en,English
11257,en,English
14370,en,English
12104,en,English
625,en,English
8816,en,English
830,en,English
2323,it,Italiano
983,en,English
642,es,Español
655,en,English
10341,en,English
639,de,Deutsch
266022,sw,Kiswahili
168450,it,Italiano
30180,en,English
31388,en,English
41801,en,English
66034,hu,Magyar
348138,en,English
96288,en,English
61536,es,Español
18762,en,English
331367,en,English
8077,en,English
814,,
41671,cn,广州话 / 廣州話
27214,en,English
52263,en,English
33519,pl,Polski
16235,en,English
11449,,
41848,en,English
25944,,
24913,en,English
49126,en,English
32076,en,English
571,de,Deutsch
8851,en,English
37843,en,English
32146,en,English
30346,en,English
6114,en,English
229,en,English
13549,en,English
9529,en,English
1598,en,English
11349,vi,Tiếng Việt
7340,en,English
6217,es,Español
377,,
653,,
28198,en,English
794,en,English
31640,en,English
8744,en,English
25189,pl,Polski
145,en,English
2212,de,Deutsch
199,es,Español
7863,en,English
12498,en,English
9279,es,Español
53234,en,English
17204,cn,广州话 / 廣州話
21539,en,English
85589,en,English
12709,en,English
20539,en,English
11674,en,English
199512,en,English
64900,en,English
1573,it,Italiano
152,en,English
174,en,English
172,en,English
154,fr,Français
157,de,Deutsch
168,ru,Pусский
364,en,English
11967,fr,Français
9086,it,Italiano
621,es,Español
9037,en,English
10173,en,English
55687,en,English
168535,pt,Português
8845,es,Español
46681,en,English
578,en,English
579,en,English
17692,en,English
17795,en,English
75,en,English
13891,en,English
9390,en,English
378,en,English
10896,en,English
2322,en,English
41240,fr,Français
26949,it,Italiano
9819,en,English
49799,de,Deutsch
31908,it,Italiano
46027,en,English
3179,en,English
1802,en,English
4232,en,English
9361,en,English
2928,en,English
30285,en,English
10549,en,English
58102,de,Deutsch
18451,en,English
27265,en,English
49935,en,English
8818,en,English
36758,en,English
36040,it,Italiano
74239,en,English
9415,en,English
55146,fr,Français
303693,en,English
12145,en,English
42424,en,English
34314,hu,Magyar
2892,la,Latin
9404,en,English
85242,en,English
9622,es,Español
8860,en,English
197537,en,English
66597,en,English
14832,en,English
9619,,
40506,en,English
31000,en,English
4104,en,English
26306,fr,Français
203829,en,English
43775,en,English
14908,en,English
784,ja,日本語
12489,cn,广州话 / 廣州話
168283,en,English
16448,en,English
55936,en,English
17894,fr,Français
28059,de,Deutsch
58911,fr,Français
17949,en,English
1968,en,English
61563,yi,
66,yi,
20735,en,English
11419,en,English
333165,it,Italiano
25796,ru,Pусский
638,en,English
25624,en,English
9366,fr,Français
60083,en,English
21915,en,English
90928,it,Italiano
50091,en,English
18420,en,English
19952,en,English
9446,it,Italiano
28005,en,English
9403,en,English
27322,en,English
10003,vi,Tiếng Việt
9311,en,English
11844,en,English
884,en,English
49806,en,English
1624,en,English
88423,cs,Český
16052,en,English
4477,fr,Français
24662,de,Deutsch
18423,pl,Polski
76996,ru,Pусский
6499,en,English
50512,en,English
9405,en,English
12723,en,English
9360,en,English
9434,en,English
118991,en,English
21626,en,English
13982,en,English
93946,en,English
77223,de,Deutsch
31465,bg,български език
12793,en,English
102878,fr,Français
105763,en,English
9611,en,English
47694,it,Italiano
10357,en,English
9977,,
816,fr,Français
2163,fr,Français
124680,en,English
16399,fr,Français
124843,en,English
31017,en,English
24645,en,English
49478,,
12499,en,English
18,en,English
68545,en,English
1811,en,English
109614,en,English
60082,en,English
53023,en,English
64802,it,Italiano
11239,fr,Français
50850,fr,Français
15321,es,Español
2058,en,English
9450,fr,Français
125021,la,Latin
330,en,English
38523,en,English
16375,,
33660,en,English
59232,,
45671,fr,Français
17770,,
15170,en,English
1701,,
201445,en,English
26422,en,English
124642,ru,Pусский
1639,fr,Français
49235,de,Deutsch
106129,en,English
291634,it,Italiano
107743,fr,Français
415,cs,Český
47686,la,Latin
65889,en,English
11103,en,English
11970,en,English
34941,it,Italiano
407992,it,Italiano
8874,fr,Français
17991,,
11956,,
266,en,English
754,de,Deutsch
37567,he,עִבְרִית
43771,it,Italiano
124834,pl,Polski
249358,ru,Pусский
111367,la,Latin
607,en,English
18080,fr,Français
38225,it,Italiano
17834,de,Deutsch
686,,
65046,fr,Français
4421,,
9387,en,English
10603,en,English
2142,en,English
8413,en,English
10336,en,English
20737,it,Italiano
9413,en,English
14585,en,English
18519,fr,Français
49462,fr,Français
8834,fr,Français
9458,it,Italiano
8854,pl,Polski
38295,en,English
22073,it,Italiano
37244,en,English
4961,de,Deutsch
9416,la,Latin
26180,en,English
17832,en,English
9772,en,English
6072,de,Deutsch
1669,it,Italiano
468,ar,العربية
32519,en,English
108401,el,ελληνικά
10806,it,Italiano
9433,es,Español
6623,en,English
2118,en,English
978,en,English
9437,es,Español
29461,en,English
56651,en,English
10351,es,Español
66588,en,English
2649,fr,Français
14289,en,English
10155,en,English
75250,en,English
20457,en,English
18355,en,English
33657,en,English
55306,es,Español
68924,de,Deutsch
36434,he,עִבְרִית
2255,ar,العربية
28353,ne,
9427,en,English
172545,en,English
17589,it,Italiano
3597,en,English
1813,en,English
36797,ar,العربية
12628,en,English
33344,tr,Türkçe
25099,en,English
45019,en,English
63437,km,
62422,en,English
782,fr,Français
29911,vi,Tiếng Việt
9827,en,English
1959,en,English
251481,en,English
8067,fr,Français
125052,de,Deutsch
45153,en,English
10871,ru,Pусский
14398,de,Deutsch
10890,it,Italiano
99002,en,English
1281,en,English
32332,es,Español
9770,en,English
12616,en,English
34838,fr,Français
14905,it,Italiano
14583,ja,日本語
11975,cn,广州话 / 廣州話
4995,ja,日本語
9281,zh,普通话
45928,en,English
563,en,English
61337,en,English
19931,it,Italiano
31535,la,Latin
10215,es,Español
9823,en,English
37165,vi,Tiếng Việt
45609,en,English
38904,en,English
45565,fr,Français
9407,en,English
4824,de,Deutsch
9444,it,Italiano
9414,la,Latin
8078,en,English
29938,ga,Gaeilge
11831,en,English
2895,fr,Français
39177,it,Italiano
19601,en,English
124606,en,English
42832,de,Deutsch
22797,en,English
2639,ru,Pусский
9574,ru,Pусский
10371,de,Deutsch
489,en,English
167738,fr,Français
293820,en,English
9714,en,English
102406,en,English
170430,sv,svenska
8197,en,English
6283,en,English
279698,en,English
49728,en,English
64562,en,English
4233,en,English
191874,gd,
10217,it,Italiano
438108,yi,
597,en,English
714,en,English
52537,en,English
12799,en,English
62394,es,Español
9922,en,English
547,fr,Français
25994,it,Italiano
184,ja,日本語
9746,th,ภาษาไทย
9438,en,English
115,de,Deutsch
26941,en,English
27103,fr,Français
9410,it,Italiano
32302,es,Español
216794,cn,广州话 / 廣州話
88863,en,English
154821,en,English
41417,fr,Français
12538,hi,हिन्दी
586,ru,Pусский
2666,en,English
46338,en,English
54007,en,English
11258,en,English
9490,hu,Magyar
9411,en,English
25719,en,English
9033,de,Deutsch
11220,en,English
21253,en,English
6116,de,Deutsch
9457,fr,Français
281289,ru,Pусский
43911,en,English
39424,fr,Français
44361,ru,Pусский
11702,vi,Tiếng Việt
2923,en,English
12238,fr,Français
11568,it,Italiano
41577,en,English
66894,fr,Français
11003,it,Italiano
10153,en,English
49645,en,English
47112,en,English
102732,en,English
30949,de,Deutsch
2898,en,English
9558,en,English
83593,en,English
320011,en,English
26269,it,Italiano
11808,ja,日本語
6970,en,English
47452,en,English
18205,fr,Français
36943,en,English
21736,de,Deutsch
17941,en,English
10668,fi,suomi
9313,fr,Français
42807,de,Deutsch
617,it,Italiano
36568,zh,普通话
37272,en,English
5910,eo,Esperanto
9440,en,English
53092,en,English
32911,en,English
44308,en,English
124821,it,Italiano
32456,en,English
93350,en,English
62695,en,English
32144,en,English
17127,en,English
40688,de,Deutsch
17133,el,ελληνικά
19848,en,English
17644,en,English
1774,en,English
30265,hi,हिन्दी
2157,en,English
70581,en,English
8838,it,Italiano
29193,en,English
795,en,English
16980,pt,Português
27472,en,English
47881,fr,Français
9469,hu,Magyar
12488,km,
98499,sv,svenska
81367,en,English
267,en,English
16148,en,English
21252,en,English
73135,es,Español
9449,en,English
6264,en,English
90414,fr,Français
188870,de,Deutsch
215373,it,Italiano
78149,ja,日本語
15513,en,English
31220,en,English
13907,en,English
29825,en,English
10622,en,English
30020,en,English
17139,en,English
34582,en,English
10216,,
9771,en,English
24560,en,English
76330,,
9448,en,English
38618,en,English
18316,en,English
78373,pt,Português
77514,en,English
49474,en,English
4415,en,English
39467,en,English
55561,en,English
8656,en,English
209345,it,Italiano
58680,en,English
35161,en,English
35796,en,English
18937,en,English
929,es,Español
9452,en,English
1878,en,English
9844,en,English
40505,en,English
14342,en,English
9715,la,Latin
26610,ro,Română
20064,bg,български език
40961,el,ελληνικά
1965,en,English
